Country;Rates_2021;Percentage_2021;Undiagnosed_2021;MortalityAttributable_2021;Rates_2011;Percentage_2011;MortalityAttributable_2011;Obesity_Prevalence;Health_Score
Afghanistan;1606700;109;1146900;31743;818300;76;15568;55;51
Albania;241100;102;95400;4248;64100;28;854;217;738
Algeria;2013000;71;810100;21749;1435100;7;9395;274;725
American Samoa;7800;203;4000;31411;1718103;77;21639;143;523
Andorra;8000;97;2700;31411;4800;54;34;256;523
Angola;584500;46;386000;11173;185300;29;2384;82;503
Antigua and Barbuda;8500;117;2500;147;7300;125;93;283;772
Argentina;1806800;54;564300;26944;1531800;55;15049;202;745
Armenia;133600;56;52900;2392;191700;85;2150;143;523
Aruba;4100;43;1200;31411;11700;124;21639;29;802
Australia;1491800;64;372900;23226;1292100;66;7325;201;796
Austria;447100;46;149800;12021;571000;66;4322;199;734
Azerbaijan;397100;56;157200;7577;167100;28;2735;143;523
Bahamas;25600;88;7400;470;28800;121;292;143;523
Bahrain;119800;113;40900;536;150800;195;545;298;754
Bangladesh;13136300;142;5712300;75617;8405600;105;144443;36;69
Barbados;38800;14;11200;1008;29100;124;263;231;523
Belarus;483000;56;191100;11242;676600;8;10045;245;753
Belgium;404900;36;135600;10714;514900;48;4331;221;806
Belize;32200;145;13500;441;24500;17;276;241;724
Benin;50400;11;26800;927;70600;2;1001;96;567
Bermuda;6900;13;2000;31411;6500;12;21639;143;523
Bhutan;44800;104;19500;379;21500;57;120;64;523
Bolivia;395900;55;147700;7517;303300;66;4431;202;659
Bosnia and Herzegovina;305900;91;121100;5113;264900;75;2535;179;70
Botswana;69100;52;36800;2044;93900;108;1252;189;595
Brazil;15733600;88;5025300;214175;12440000;101;121082;221;72
British Virgin Islands;1900;87;500;31411;1300;86;21639;143;523
Brunei;35000;111;15900;532;19300;94;205;141;523
Bulgaria;519300;74;134000;10521;531600;67;8205;25;747
Burkina Faso;164400;21;94700;2813;175100;3;3231;56;591
Burundi;223100;65;128500;3925;94200;27;1860;54;578
Cambodia;596000;73;334400;8772;199400;29;4895;39;712
Cameroon;620800;55;330700;12614;501400;61;10829;114;507
Canada;2974000;77;1123300;53046;2716100;84;17638;294;784
Cape Verde;7300;21;3900;70;13100;54;112;28;757
Cayman Islands;6100;13;1800;31411;4400;12;21639;143;523
Central African Republic;96900;58;55800;3655;58200;32;1267;75;328
Chad;268300;58;154600;5247;197100;39;6059;61;377
Chile;1747100;108;545600;18591;1190100;95;7927;28;757
China;140869600;106;72839500;1396662;90045100;88;1133918;223;787
Colombia;3443600;83;1241400;35562;2609300;98;19572;78;598
Comoros;34600;117;17800;440;23500;84;174;143;523
Costa Rica;361500;88;134900;3663;271200;96;1707;257;784
Croatia;212700;48;71300;6218;218800;52;2271;244;761
Cuba;761300;76;284000;10714;939000;94;7983;246;79
Curacao;20300;117;5900;31411;1718103;77;21639;143;523
Cyprus;87500;86;32000;1101;81800;93;456;218;791
Czech Republic;791400;71;265100;1146;557400;53;5889;143;79
Denmark;309400;53;103600;7010;299500;56;2726;197;806
Djibouti;53700;74;28600;883;26100;63;359;135;624
Dominica;6300;117;2200;31411;3900;89;35;279;523
Dominican Republic;865300;105;322800;12777;431600;81;5450;276;721
DR Congo;1908900;58;1099500;34151;730700;31;52949;143;523
Ecuador;526700;44;105300;3970;524200;66;5126;199;729
Egypt;10930700;209;6779200;122684;7323400;166;65003;32;672
El Salvador;291500;63;108700;3692;293100;94;3056;246;697
Equatorial Guinea;39400;55;21000;824;14000;42;216;8;505
Eritrea;94200;65;54200;2129;95500;36;1280;5;575
Estonia;83900;65;40900;174;90700;7;1264;212;773
Eswatini;21800;46;11600;846;13900;31;527;165;49
Ethiopia;1920000;5;1105900;26448;1377300;34;25491;45;598
Faroe Islands;1800;38;600;31411;1718103;77;21639;143;523
Fiji;99200;177;51100;1587;55400;109;994;302;523
Finland;392900;61;73700;9338;340300;58;2753;222;814
France;3942900;53;1098600;87434;3237600;54;21782;216;805
French Polynesia;52100;252;23600;31411;14900;86;21639;143;523
Gabon;79000;55;42100;1215;68600;103;704;15;568
Gambia;18100;19;10400;325;12300;2;144;143;523
Georgia;190600;57;75400;4271;104600;28;1432;217;713
Germany;6199900;69;1345400;151463;5022200;53;42971;223;811
Ghana;329200;26;175400;6255;517400;5;6108;109;642
Greece;736100;64;249600;22350;603400;51;4858;249;768
Greenland;1800;33;600;31411;1718103;77;21639;143;523
Grenada;10100;126;3500;265;4800;86;68;213;523
Guam;23300;191;10600;31411;10300;86;21639;143;523
Guatemala;1149500;131;561100;13850;533300;93;6585;212;682
Guinea;103700;21;59700;2176;181800;44;2348;77;504
Guinea-Bissau;16800;21;9700;411;19100;3;332;95;512
Guyana;54000;117;18900;1672;65600;167;1260;202;629
Haiti;548700;89;161300;11811;295500;66;6012;227;527
Honduras;268200;51;134100;3796;216900;67;2133;214;687
Hong Kong;686000;78;372000;31411;525400;76;21639;143;813
Hungary;661400;7;110300;10701;568400;6;7353;264;763
Iceland;20100;55;6700;394;8600;32;56;219;823
India;74194700;96;39397400;647831;61258400;9;983203;39;671
Indonesia;19465100;106;14341900;236711;7291900;51;149872;69;727
Iran;5450300;91;1911500;47932;4695000;111;30475;258;748
Iraq;2011400;107;946400;21752;1089000;91;13085;304;655
Ireland;139100;3;46600;2958;191400;52;1457;253;795
Isle of Man;5100;63;1700;31411;1718103;77;21639;143;523
Israel;536500;85;179700;13230;400300;74;2777;261;828
Italy;4470300;64;1497700;172943;3560400;51;26111;199;811
Ivory Coast;231200;21;123100;3991;406500;49;4271;103;535
Jamaica;231100;111;56500;4303;258500;157;2254;247;749
Japan;11005000;66;5007300;245010;10674300;77;81446;43;866
Jordan;866500;154;173000;5705;291600;121;2118;355;729
Kazakhstan;807700;66;319700;11806;801200;77;14857;21;738
Kenya;821500;4;358700;15285;769300;51;13269;71;646
Kiribati;14100;221;7800;336;15000;253;162;143;523
Kuwait;803400;249;299700;2153;298000;207;799;379;769
Kyrgyzstan;256400;66;101500;2966;154200;63;2514;166;734
Laos;100;73;0;31411;1718103;77;21639;53;646
Latvia;115800;59;38800;2229;166300;78;1817;236;738
Lebanon;396100;8;159400;5492;527900;196;4525;32;697
Lesotho;48400;46;25800;2761;29100;34;1339;166;407
Liberia;47100;21;27100;802;51000;33;716;99;491
Libya;399200;87;160700;3782;436400;138;2705;325;675
Liechtenstein;2500;61;800;31411;1800;47;11;143;523
Lithuania;186900;58;62600;5870;235900;78;3261;263;741
Luxembourg;34600;59;11600;788;21100;45;161;226;815
Macau;50900;78;23100;31411;32700;72;21639;143;523
Madagascar;535800;46;308600;9718;428000;47;5407;53;555
Malawi;486000;73;280000;7917;352300;56;11405;58;605
Malaysia;4431500;19;2175600;41238;2029900;121;24938;206;677
Maldives;27000;92;11800;115;15200;92;141;233;706
Mali;152500;21;87800;2616;99800;19;1545;261;717
Malta;37800;8;17900;735;30100;66;228;72;531
Marshall Islands;9100;23;5900;31411;7000;218;172;529;523
Mauritania;45000;21;24000;514;60600;43;644;127;58
Mauritius;250400;226;89300;2320;138200;148;1609;108;724
Mayotte;5700;46;3300;31411;1718103;77;21639;143;523
Mexico;14123200;169;6710200;184384;10293700;156;71087;289;727
Micronesia;8700;156;4500;193;7700;157;105;143;523
Moldova;207300;56;82000;4025;80000;27;1449;189;723
Monaco;2700;62;900;31411;2100;56;12;143;523
Mongolia;150800;69;77600;2597;117500;71;2644;206;677
Montenegro;54700;91;21600;1014;41900;77;506;233;706
Morocco;2327700;91;936800;31435;1267900;68;6992;261;717
Mozambique;349300;33;302900;11832;294700;31;8805;72;531
Myanmar;2346600;71;1213400;34506;2103700;71;58889;58;677
Namibia;75000;67;40000;1674;74100;78;872;172;599
Nauru;1500;234;700;31411;1200;204;20;61;523
Nepal;1133500;87;492900;9022;488200;36;11297;41;641
Netherlands;857000;45;287100;21213;881600;53;7054;204;822
New Caledonia;49800;234;22600;31411;14600;86;21639;143;523
New Zealand;268700;62;122000;4719;312100;86;1916;308;797
Nicaragua;365800;93;163700;3654;282800;11;2774;237;73
Niger;423100;52;243700;5302;283900;42;5919;55;541
Nigeria;3623500;36;1930200;48375;3054500;48;63340;89;491
North Korea;1847100;86;1030800;27653;1507500;84;33322;68;523
North Macedonia;116100;61;46000;2590;134900;77;1507;143;523
Northern Mariana Islands;8300;234;3700;31411;1718103;77;21639;143;523
Norway;190700;36;63900;2788;202100;47;1275;231;84
Oman;445600;138;222800;2100;138400;105;704;27;752
Pakistan;32964500;308;8864900;396625;6349200;79;65735;86;595
Palau;1900;17;900;31411;1400;111;17;553;523
Palestine;183000;92;73700;31411;124500;92;21639;143;523
Panama;236000;82;73700;2119;196200;94;1463;227;765
Papua New Guinea;724000;167;372700;10717;216800;76;5189;213;542
Paraguay;274600;75;102400;3467;205000;65;2005;203;714
Peru;1300700;48;485200;8667;942200;6;7010;197;764
Philippines;4303900;71;2869400;66461;4219700;97;58798;64;697
Poland;2677000;68;1745100;5330;3057500;9;29959;231;752
Portugal;994100;91;433300;22858;1021400;96;7822;208;776
Puerto Rico;413400;133;129100;31411;388500;13;21639;143;523
Qatar;394900;195;135000;898;216900;198;457;351;776
Republic of the Congo;151600;55;80800;3104;94600;55;1424;143;548
Romania;1199000;65;255400;24213;1506300;77;18433;225;747
Russia;7392100;56;3029200;20723;12593200;97;217185;231;716
Rwanda;297000;65;171100;4075;126200;31;1918;58;652
Saint Kitts and Nevis;6400;161;1800;31411;2900;85;40;229;523
Saint Lucia;15900;117;5600;317;8600;84;79;197;523
Saint Vincent and the Grenadines;6500;8;2300;131;5800;88;78;237;523
Samoa;7700;92;4000;135;6600;77;151;143;523
